Station,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider,Zone
Cinnamon Mtn,12301,46,59,40,39,77,8,190,17,-,-,-,-,-,-,-,RMBL,Gunnison
,,,,,,,,,,,,,,,,,,Gunnison
Paonia 1SW,5580,80,93,55,-,-,-,-,-,-,-,-,-,-,-,-,HADS,Grand Mesa
Jay,6200,83,91,59,50,32,4,110,10,-,-,-,-,-,-,-,RAWS,Grand Mesa
Douglas Pass (139S0,8270,67,73,50,43,42,20,135,26,-,-,-,-,-,-,-,CDOT,Grand Mesa
Overland Res.,9840,56,66,42,-,-,-,-,-,0.00,0.40,-,-,-,0.0,-,SNOTEL,Grand Mesa
Park Reservoir,9960,55,64,41,-,-,-,-,-,0.00,0.40,-,-,-,0.0,0.10,SNOTEL,Grand Mesa
Mesa Lakes,10000,58,64,43,-,-,-,-,-,0.00,0.30,-,-,-,0.0,0.00,SNOTEL,Grand Mesa
Whitewater Creek,10000,61,70,39,46,57,0,89,-,-,-,-,-,-,-,-,CLOUDSEED,Grand Mesa
Grand Mesa-Skyway P,10628,32,32,32,-14,13,32,4,33,-,-,-,-,-,-,-,JPL,Grand Mesa
,,,,,,,,,,,,,,,,,,Grand Mesa
Placerville,7030,53,84,7,-,-,-,-,-,-,-,-,-,-,-,-,HADS,North San Juan
GMF1 Montrose 555,7407,72,77,43,43,35,3,55,10,-,-,-,-,-,-,-,RAWS,North San Juan
Montrose 11ENE,8250,58,77,49,45,61,-,-,11,-,-,-,-,-,-,-,MesoWest,North San Juan
EW6300 Lake City,8655,70,74,40,39,32,8,27,18,-,-,-,-,-,-,-,APRSWXNET,North San Juan
Rico,8931,71,71,40,46,41,1,92,5,0.00,0.01,0.01,16.6,-,35.8,-,CAIC,North San Juan
Telluride,8942,71,77,44,40,33,7,225,14,-,-,-,-,-,-,-,CDOT,North San Juan
Telluride,9085,72,72,50,30,21,13,270,21,-,-,-,-,-,-,-,METAR,North San Juan
Silverton,9267,69,73,36,33,27,11,315,18,-,-,-,-,-,-,-,CDOT,North San Juan
Columbine Pass,9400,67,73,47,-,-,-,-,-,0.00,0.90,-,-,-,-,-,SNOTEL,North San Juan
Upper Rio Grande,9400,71,71,37,-,-,1,75,4,0.00,0.90,-,-,-,-,0.00,SNOTEL,North San Juan
Monument,9543,63,69,41,41,45,-,-,-,0.00,0.00,0.00,0.0,-,1.2,-,CAIC,North San Juan
Lone Cone,9600,63,70,40,-,-,-,-,-,0.00,0.60,-,-,-,2.0,0.10,SNOTEL,North San Juan
Idarado,9800,64,70,40,-,-,-,-,-,0.00,0.30,-,-,-,3.0,0.10,SNOTEL,North San Juan
